Slno,State,Entity name,GST No,FC Data,FC Name,FC Seller Address 1,FC Seller Address 1.1,Seller Pin code,Location Status,HUB/FC,Hub Name,Name,Fssai,Address,HUB Buyers Address 1,HUB Buyers Address 1.1,HUB Buyers Pin code
42,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
43,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_SUTLEJ,Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
44,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,MYS_AGR,Mysore,1.12E+13,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
45,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
46,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_HNU,Hennur,1.12E+13,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
47,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_PNY,Peenya,1.12E+13,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
48,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
49,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML_HRC,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
50,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
51,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_HNU,Hennur,1.12E+13,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
52,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML_HRC,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
53,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
54,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_PNY,Peenya,1.12E+13,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
55,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_MRT,Maruthi,1.12E+13,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
56,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_HNU,Hennur,1.12E+13,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
57,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,MYS_AGR,Mysore,1.12E+13,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
58,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
59,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_SUTLEJ,Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
60,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_ARIHANT,Arihant,1.12E+13,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli,Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka, 562123","Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123
61,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KML,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
62,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KML_HRC,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
63,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KML,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
64,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_HNU,Hennur,1.12E+13,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
65,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_PNY,Peenya,1.12E+13,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
66,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
67,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KDL,Kempegowda-Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
68,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_MRT,Maruthi,1.12E+13,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
69,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,MYS_AGR,Mysore,1.12E+13,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
70,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_SUTLEJ,Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
71,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_ARIHANT,Arihant,1.12E+13,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli,Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka, 562123","Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123
72,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
73,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KML_HRC,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
74,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_ARIHANT,Arihant,1.12E+13,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli,Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka, 562123","Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123
75,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_MRT,Maruthi,1.12E+13,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
76,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KML,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
77,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_SUTLEJ,Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
78,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,MYS_AGR,Mysore,1.12E+13,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
79,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
80,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KDL,Kempegowda-Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
81,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_HNU,Hennur,1.12E+13,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
82,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_PNY,Peenya,1.12E+13,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
83,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
84,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KML_HRC,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
85,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KDL,Kempegowda-Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
86,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
