Slno,State,Entity name,GST No,FC Data,FC Name,FC Seller Address 1,FC Seller Address 1.1,Seller Pin code,Location Status,HUB/FC,Hub Name,Name,Fssai,Address,HUB Buyers Address 1,HUB Buyers Address 1.1,HUB Buyers Pin code
11,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_SAN,Santosh Nagar,1.36E+13,"Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens, Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana, 500097","Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens","Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana",500097
12,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_NCH,Nacharam,1.36E+13,"Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village, Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana, 500076","Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village","Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana",500076
13,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_BAL,Gandhi Nagar,1.36E+13,"Plot No.35 of the Co-Operative Industrial Estate Ltd, Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana, 500037",Plot No.35 of the Co-Operative Industrial Estate Ltd,"Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana",500037
14,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_SUTLEJ,Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
15,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
16,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_ARIHANT,Arihant,1.12E+13,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli,Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka, 562123","Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123
17,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_MRT,Maruthi,1.12E+13,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
18,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_PNY,Peenya,1.12E+13,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
19,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,MYS_AGR,Mysore,1.12E+13,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
20,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
21,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,Sutlej/Gomati,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KDL,Kempegowda,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
