Slno,State,Entity name,GST No,FC Data,FC Name,FC Seller Address 1,FC Seller Address 1,Seller Pin code,Location Status,HUB/FC,Hub Name,Name,Fssai,Address,HUB Buyers Address 1,HUB Buyers Address 1,HUB Buyers Pin code
11,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_NCH,Nacharam,13621012000886,"Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village, Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana, 500076","Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village","Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana",500076
12,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_BAL,Gandhi Nagar,13622014001249,"Plot No.35 of the Co-Operative Industrial Estate Ltd, Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana, 500037",Plot No.35 of the Co-Operative Industrial Estate Ltd,"Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana",500037
13,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_SUTLEJ,Sutlej,11220302000775,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
14,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML,Koramangala,11220302000775,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
15,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_ARIHANT,Arihant,11220302000775,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli,Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka, 562123","Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123
16,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_MRT,Maruthi,11220302000775,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
17,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_PNY,Peenya,11220302000775,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
18,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,MYS_AGR,Mysore,11220302000775,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
19,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Sutlej,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KSL,Kanakapura,11220302000775,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
20,Karnataka,SOURCINGBEE PRIVATE LIMITED,29AAWCS7485C1ZJ,FC,FC-Sutlej,"NO 73,, HAROKYATHANAHALLI VILLAGE","Dasanapura, Bengaluru Urban, Karnataka",562162,Active,HUB,BLR_KDL,Kempegowda,11220302000775,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
21,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_HNU,Hennur,11220302000775,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
22,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,Hosur,Hosur,11220302000775,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
23,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,KDL-Sutlej,Kempegowda-Sutlej,11220302000775,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
