slno,company_name,company_code,state,state_code,city,origin_facility_display_name,origin_facility_code,facility_code,facility_type,status,gstin,fssai_license,address_line1,address_line2,pin_code,place_of_supply,destination_hub_display_name,destination_hub_code,hub_address,hub_pin_code,receiver_company_code,receiver_gstin,default_distance_km,transporter_gstin,effective_from,effective_to,last_updated,notes
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Telangana,36,Gandhi Nagar,,,,DISTRIBUTION_HUB,ACTIVE,36AAPCA1708D1ZX,13622014001250.0,Plot No.35 of the Co-Operative Industrial Estate Ltd,"Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana",500037,Hyderabad,Gandhi Nagar,HYD_BAL,"Plot No.35 of the Co-Operative Industrial Estate Ltd, Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana, 500037",500037,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Airanth,FC-Airanth,AIR,AIR,FULFILLMENT_CENTER,ACTIVE,29AAPCA1708D1ZS,11221999000403.0,"Survey No 87/1,87/2,88/2,88/3,89/1,122, Arihant-Vikrant, Byranahalli Village Kasaba Hobli,","Nelamangala Taluka, Bengaluru Rural, Karnataka",562123,Airanth,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Sutlej & Gomati,FC-Sutlej & Gomati,SUT,SUT,FULFILLMENT_CENTER,ACTIVE,29AAPCA1708D1ZS,11222999000306.0,"Survey No. 73, FC- Satlej/FC- Gomati, Harokyathanahalli Village,Dasanapura Hobli","Bangalore North Taluk, Bengaluru North, Bengaluru Rural, Karnataka",562162,Sutlej & Gomati,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,KML,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,11222302001452.0,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road,","Dharmaram College P.O, Bengaluru Urban, Karnataka",560029,Bengaluru,KML,BLR_KML,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road, Dharmaram College P.O, Bengaluru Urban, Karnataka, 560029",560029,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Hennur,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,11222302000065.0,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli","Bengaluru Urban, Karnataka",560064,Bengaluru,Hennur,BLR_HNU,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bengaluru Urban, Karnataka,560064",560064,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,KSL,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,11223302000430.0,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South","Talaghatpura, Bengaluru, Bengaluru Urban, Karnataka",560062,Bengaluru,KSL,BLR_KSL,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bengaluru, Bengaluru Urban, Karnataka, 560062",560062,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Mysore,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,11223323000386.0,"No 81, Koorgalli Industrial Area","Mysore, Bengaluru Urban, Karnataka,",570018,Mysore,Mysore,MYS_AGR,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru Urban, Karnataka, 570018",570018,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Safal Market,,,,UNKNOWN,ACTIVE,29AAPCA1708D1ZS,11223302001436.0,"A-21, A-27, A-29, A-Passage B-06, Safal Market, SY. No.99, Khajisonenahalli Village,Whitefield","Hoskote Highway, Bengaluru, Bengaluru Rural, Karnataka",560115,Safal Market,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Bengaluru,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,11223302000428.0,"Sy. No. 32/1, Konappana Agrahara, Electronic City","Bangalore South, Bengaluru, Bengaluru Urban, Karnataka",560100,Bengaluru,,BLR_KDL,"Sy. No. 32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru, Bengaluru Urban, Karnataka, 560100",560100,AMOLAKCHAND,,,,,,2025-08-08,Incorrect
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,BLR_MRT,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,11223302000429.0,"Sy.No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite Indai/IFB Factory, Bengaluru, Bengaluru Urban, Karnataka",560048,Bengaluru,BLR_MRT,BLR_MRT,"Sy.No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite Indai/IFB Factory, Bengaluru, Bengaluru Urban, Karnataka, 560048",560048,AMOLAKCHAND,,,,,,2025-08-08,Incorrect
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Bengaluru,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,,"Sy. No-5/3, Arehalli Village, Attibele Hobli, Anekal Taluk","Bengaluru, Bengaluru Urban, Karnataka",562107,Bengaluru,,BLR_HOSUR,"Sy. No-5/3, Arehalli Village, Attibele Hobli, Anekal Taluk, Bengaluru, Bengaluru Urban, Karnataka, 562107",562107,AMOLAKCHAND,,,,,,2025-08-08,Madhav
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,,,,,UNKNOWN,ACTIVE,29AAPCA1708D1ZS,,Mahimappa Industrial Estate 100 ft Road Jalahalli Cross Road,"Near PIA Bhavan Chokkasandra Peenya 1st Stage, Bengaluru, Bengaluru Urban, Karnataka",560057,,,,,,AMOLAKCHAND,,,,,,2025-08-08,Madhav
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Karnataka,29,Bengaluru,,,,DISTRIBUTION_HUB,ACTIVE,29AAPCA1708D1ZS,,"Plot No.441, Yeshwanthapura Hobli, Situated in Survey No.88 of Nallakadaranahalli Village","Peenya 4th Phase Industrial Area, Bengaluru, Bengaluru Urban, Karnataka",560058,Bengaluru,,BLR_PNY,"Plot No.441, Yeshwanthapura Hobli, Situated in Survey No.88 of Nallakadaranahalli Village, Peenya 4th Phase Industrial Area, Bengaluru, Bengaluru Urban, Karnataka, 560058",560058,AMOLAKCHAND,,,,,,2025-08-08,Madhav
,TAILHUB PRIVATE LIMITED,TAILHUB,Karnataka,29,Airanth & Vikranth,FC-Airanth & Vikranth,AIR,AIR,FULFILLMENT_CENTER,ACTIVE,29AAGCT1326B1ZO,11222303000071.0,"Survey No 87/1,87/2,88/2,88/3,89/1,122, Arihant-Vikrant, Byranahalli Village Kasaba Hobli,","Nelamangala Taluka, Bengaluru Rural, Karnataka",562123,Airanth & Vikranth,,,,,TAILHUB,,,,,,2025-08-08,
,TAILHUB PRIVATE LIMITED,TAILHUB,Karnataka,29,Sutlej & Gomati,FC-Sutlej & Gomati,SUT,SUT,FULFILLMENT_CENTER,ACTIVE,29AAGCT1326B1ZO,11222302000149.0,"Survey No. 73, FC- Satlej/FC- Gomati, Harokyathanahalli Village,Dasanapura Hobli","Bangalore North Taluk, Bengaluru North, Bengaluru Rural, Karnataka",562162,Sutlej & Gomati,,,,,TAILHUB,,,,,,2025-08-08,
